,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration
0,4vUmTMuQqjdnvlZmAH61Qk,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,"['Ed Sheeran', 'Camila Cabello', 'Cardi B']",0.857,0.621,9,-6.376,0,0.148,0.0,0.0865,0.668,97.989,4,204
1,1jIMjbzcGCcCQn5iMu9CUc,That's Hilarious,Charlie Puth,['Charlie Puth'],0.714,0.442,6,-5.909,1,0.742,0.0,0.114,0.546,108.039,4,147
2,3rmo8F54jFF8OgYsqTxm5d,Bad Habits,Ed Sheeran,['Ed Sheeran'],0.807,0.893,11,-3.745,0,0.0451,2.79e-05,0.366,0.537,126.011,4,231
3,6AtZLIzUINvExIUy4QhdjP,I Knew You Were Trouble (Taylor's Version),Taylor Swift,['Taylor Swift'],0.584,0.557,6,-6.371,1,0.0129,0.0,0.0576,0.767,154.008,4,220
4,50nfwKoDiSYg8zOCREWAm5,Shivers,Ed Sheeran,['Ed Sheeran'],0.788,0.859,2,-2.724,1,0.281,0.0,0.0424,0.822,141.02,4,208
5,4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo),Justin Bieber,"['Justin Bieber', 'Quavo']",0.806,0.546,9,-6.637,1,0.3,0.0,0.102,0.874,147.986,4,213
6,6TYuTMfBTU4hpXrhLsjIiV,Forever My Love,J Balvin,"['J Balvin', 'Ed Sheeran']",0.622,0.257,0,-9.811,1,0.478,0.0,0.0954,0.174,79.924,4,191
7,4Gt2kh3QbAGU6yquOWn4aW,Fake,Lauv,"['Lauv', 'Conan Gray']",0.703,0.657,4,-5.363,1,0.139,0.0,0.093,0.455,82.96,4,146
8,7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,['Ed Sheeran'],0.825,0.652,1,-3.183,0,0.581,0.0,0.0931,0.931,95.977,4,234
9,0DuWDLjriRPjDRoPgaCslY,Love In The Dark,Adele,['Adele'],0.331,0.341,9,-6.057,0,0.528,0.0,0.109,0.152,109.821,4,286
10,4hJhHbkhZFnxmWbAkZRoe0,Peru,Fireboy DML,"['Fireboy DML', 'Ed Sheeran']",0.956,0.417,7,-7.892,0,0.572,0.00071,0.0782,0.714,108.015,4,187
11,2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),Wiz Khalifa,"['Wiz Khalifa', 'Charlie Puth']",0.689,0.481,10,-7.503,1,0.369,1.03e-06,0.0649,0.283,80.025,4,230
12,2DB4DdfCFMw1iaR6JaR03a,Bam Bam (feat. Ed Sheeran),Camila Cabello,"['Camila Cabello', 'Ed Sheeran']",0.756,0.697,8,-6.377,1,0.182,0.0,0.333,0.956,94.996,4,206
13,1Ov37jtRQ2YNAe8HzfczkL,Wildest Dreams (Taylor's Version),Taylor Swift,['Taylor Swift'],0.583,0.67,8,-7.289,1,0.0374,0.0001,0.126,0.498,140.061,4,220
